draw_date,number,moving_average
2026-07-15,64,0.3333333333333333
2026-07-15,65,0.13333333333333333
2026-07-15,66,0.13333333333333333
2026-07-15,67,0.16666666666666666
2026-07-15,68,0.2
2026-07-15,69,0.13333333333333333
2026-07-15,70,0.03333333333333333
2026-07-15,71,0.1
2026-07-15,72,0.13333333333333333
2026-07-15,73,0.23333333333333334
2026-07-15,74,0.13333333333333333
2026-07-15,75,0.26666666666666666
2026-07-15,76,0.06666666666666667
2026-07-15,77,0.06666666666666667
2026-07-15,78,0.03333333333333333
2026-07-15,79,0.1
2026-07-15,80,0.16666666666666666
2026-07-15,81,0.1
2026-07-15,82,0.13333333333333333
2026-07-15,83,0.16666666666666666
2026-07-15,84,0.06666666666666667
2026-07-15,85,0.16666666666666666
2026-07-15,86,0.1
2026-07-15,87,0.06666666666666667
2026-07-15,88,0.06666666666666667
2026-07-15,89,0.23333333333333334
2026-07-15,90,0.16666666666666666
2026-07-15,91,0.13333333333333333
2026-07-15,92,0.26666666666666666
2026-07-15,94,0.2
2026-07-15,95,0.1
2026-07-15,96,0.06666666666666667
2026-07-15,97,0.13333333333333333
2026-07-15,98,0.06666666666666667
2026-07-15,99,0.16666666666666666
2026-07-16,00,0.3
2026-07-16,01,0.3
2026-07-16,02,0.1
2026-07-16,03,0.2
2026-07-16,04,0.03333333333333333
2026-07-16,05,0.43333333333333335
2026-07-16,06,0.26666666666666666
2026-07-16,07,0.03333333333333333
2026-07-16,08,0.16666666666666666
2026-07-16,09,0.1
2026-07-16,10,0.16666666666666666
2026-07-16,11,0.16666666666666666
2026-07-16,12,0.1
2026-07-16,13,0.43333333333333335
2026-07-16,14,0.1
2026-07-16,16,0.13333333333333333
2026-07-16,17,0.3333333333333333
2026-07-16,18,0.16666666666666666
2026-07-16,19,0.5333333333333333
2026-07-16,20,0.26666666666666666
2026-07-16,22,0.06666666666666667
2026-07-16,23,0.2
2026-07-16,24,0.16666666666666666
2026-07-16,25,0.1
2026-07-16,26,0.23333333333333334
2026-07-16,27,0.13333333333333333
2026-07-16,28,0.03333333333333333
2026-07-16,29,0.03333333333333333
2026-07-16,30,0.1
2026-07-16,31,0.4
2026-07-16,32,0.2
2026-07-16,33,0.3
2026-07-16,34,0.3
2026-07-16,35,0.06666666666666667
2026-07-16,36,0.2
2026-07-16,37,0.3
2026-07-16,38,0.06666666666666667
2026-07-16,39,0.1
2026-07-16,40,0.36666666666666664
2026-07-16,41,0.06666666666666667
2026-07-16,42,0.1
2026-07-16,43,0.1
2026-07-16,44,0.06666666666666667
2026-07-16,45,0.1
2026-07-16,46,0.23333333333333334
2026-07-16,47,0.16666666666666666
2026-07-16,48,0.1
2026-07-16,49,0.26666666666666666
2026-07-16,50,0.4
2026-07-16,52,0.13333333333333333
2026-07-16,53,0.3
2026-07-16,54,0.1
2026-07-16,55,0.1
2026-07-16,56,0.23333333333333334
2026-07-16,57,0.26666666666666666
2026-07-16,58,0.16666666666666666
2026-07-16,59,0.1
2026-07-16,60,0.3
2026-07-16,61,0.3
2026-07-16,62,0.3
2026-07-16,63,0.2
2026-07-16,64,0.4666666666666667
2026-07-16,65,0.26666666666666666
2026-07-16,66,0.23333333333333334
2026-07-16,67,0.23333333333333334
2026-07-16,68,0.26666666666666666
2026-07-16,69,0.16666666666666666
2026-07-16,70,0.06666666666666667
2026-07-16,71,0.13333333333333333
2026-07-16,72,0.23333333333333334
2026-07-16,73,0.3
2026-07-16,74,0.2
2026-07-16,75,0.4
2026-07-16,76,0.1
2026-07-16,77,0.13333333333333333
2026-07-16,78,0.03333333333333333
2026-07-16,79,0.16666666666666666
2026-07-16,80,0.26666666666666666
2026-07-16,81,0.13333333333333333
2026-07-16,82,0.2
2026-07-16,83,0.3
2026-07-16,84,0.06666666666666667
2026-07-16,85,0.23333333333333334
2026-07-16,86,0.16666666666666666
2026-07-16,87,0.1
2026-07-16,88,0.1
2026-07-16,89,0.3333333333333333
2026-07-16,90,0.23333333333333334
2026-07-16,91,0.13333333333333333
2026-07-16,92,0.4
2026-07-16,94,0.26666666666666666
2026-07-16,95,0.13333333333333333
2026-07-16,96,0.1
2026-07-16,97,0.2
2026-07-16,98,0.1
2026-07-16,99,0.23333333333333334
